time,open,high,low,close,volume,
1.63E+12,48959.82,48965,48952.25,48961.24,11.33015,
1.63E+12,48961.24,48976.69,48953,48976.68,25.96556,
1.63E+12,48976.68,49000,48976.68,48994.22,28.29617,
1.63E+12,48994.21,49000,48987.11,49000,15.21663,
1.63E+12,49000,49019.24,48987.44,49019.24,21.62678,
1.63E+12,49019.23,49027.24,48982.06,49015.13,24.68773,
1.63E+12,49015.12,49039.88,48994.67,49030.02,20.58413,
1.63E+12,49030.01,49039.98,49000.48,49011.87,12.70516,
1.63E+12,49011.86,49011.87,48981.79,48981.8,7.74256,
1.63E+12,48981.79,48981.8,48970.34,48973,3.57317,
1.63E+12,48973,48992.65,48965,48965.01,10.97075,
1.63E+12,48965,48965.01,48928.85,48932.12,11.4994,
1.63E+12,48932.13,48956.75,48930,48935.99,7.72531,
1.63E+12,48936,48955.01,48932.72,48940.01,6.72184,
1.63E+12,48938.03,48954.28,48934.79,48947.73,5.45458,
1.63E+12,48947.72,48955.98,48939.99,48946.27,5.97505,
1.63E+12,48946.27,48954.34,48918.69,48920.36,7.03125,
1.63E+12,48920.36,48920.36,48894.12,48894.12,12.05969,
1.63E+12,48895.54,48907.06,48874,48878.56,21.3959,
1.63E+12,48878.57,48897.28,48867.53,48870.59,11.77231,
1.63E+12,48870.58,48928.35,48870.58,48922.63,15.8654,
1.63E+12,48922.63,48925.79,48894.15,48894.16,12.34401,
1.63E+12,48894.16,48894.16,48870.59,48882.95,10.18403,
1.63E+12,48881.45,48904.99,48877.49,48888.24,11.39225,
1.63E+12,48888.24,48889.7,48875.08,48877.74,4.84027,
1.63E+12,48877.73,48935.55,48870.91,48897.87,14.02132,
1.63E+12,48897.86,48924.68,48897.86,48914.61,12.05896,
1.63E+12,48914.61,48917.35,48894.13,48894.99,5.5106,
1.63E+12,48895,48897.2,48870,48890.73,14.89229,
1.63E+12,48890.73,48894.12,48862.93,48867.32,20.43172,
1.63E+12,48867.32,48879.86,48844.35,48852.99,12.10782,
1.63E+12,48853,48961.98,48848.09,48939.21,42.78363,
1.63E+12,48939.22,48949.63,48931.9,48938.13,15.89869,
1.63E+12,48938.12,48960,48932.33,48952.73,26.24591,
1.63E+12,48952.72,48963.12,48943.51,48958.47,15.77876,
1.63E+12,48958.46,48958.47,48934.72,48948.21,14.1454,
1.63E+12,48948.21,48984.45,48942.54,48984.44,11.97031,
1.63E+12,48984.44,49038,48972.66,49021.59,45.18655,
1.63E+12,49021.59,49021.59,48990.78,48990.79,12.1859,
1.63E+12,48990.79,49050,48990.79,49023.59,23.20953,
1.63E+12,49023.59,49049.99,49017.96,49036.18,24.86218,
1.63E+12,49036.17,49036.18,49000,49000,13.6504,
1.63E+12,49000,49002.1,48990.7,48992.63,2.48477,
1.63E+12,48992.62,48996.32,48976.8,48980.14,3.49121,
1.63E+12,48980.14,48980.15,48957.2,48970.59,5.5833,
1.63E+12,48970.58,48995.97,48937.5,48940.07,13.71034,
1.63E+12,48940.06,48990,48925.56,48989.99,14.67773,
1.63E+12,48990,48999.99,48975.64,48995.44,9.3795,
1.63E+12,48995.45,49022.13,48983,49022.13,18.72199,
1.63E+12,49022.12,49030,49009.82,49030,23.28411,
1.63E+12,49029.99,49048.56,49006.16,49040.42,16.68862,
1.63E+12,49040.43,49074.13,49040.43,49059,32.35509,
1.63E+12,49059,49074.81,49035.37,49039.23,21.75085,
1.63E+12,49039.23,49061,49020,49026.67,58.45155,
1.63E+12,49026.68,49026.68,49011.82,49015.74,8.16824,
1.63E+12,49015.73,49025.97,49015.73,49025.37,6.02833,
1.63E+12,49025.37,49025.38,49001.94,49015.41,8.52911,
1.63E+12,49015.4,49015.41,48993.02,48993.02,10.55184,
1.63E+12,48993.03,49002.09,48975.69,48989.31,11.88003,
1.63E+12,48989.31,49002.69,48975,48980.12,4.34663,
1.63E+12,48980.12,49004.21,48966.24,48970.3,13.91469,
1.63E+12,48970.3,48973.8,48966.46,48966.5,4.92327,
1.63E+12,48966.5,48975.69,48938.3,48938.31,14.51103,
1.63E+12,48938.31,48963.03,48905,48925.46,11.75537,
1.63E+12,48925.46,48956.39,48925.46,48943.68,5.7946,
1.63E+12,48943.68,48954.32,48931.26,48934.11,6.80886,
1.63E+12,48930.63,48964.09,48918.32,48960.5,11.02334,
1.63E+12,48960.5,48974.08,48957.52,48963.29,4.84721,
1.63E+12,48963.3,48963.3,48946.34,48946.97,5.22813,
1.63E+12,48946.96,48968.58,48936.98,48964.63,14.37937,
